Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Followers,Is_Verified,Length_Referent_Text,Number_Verified_Annotations,Pinned,Class
FALSE,accepted,3,FALSE,2660,FALSE,80,0,FALSE,high
FALSE,accepted,0,FALSE,10964,FALSE,70,0,FALSE,low
FALSE,accepted,0,FALSE,10964,FALSE,73,2,FALSE,high
TRUE,verified,21,FALSE,21495,TRUE,62,2,TRUE,high
FALSE,accepted,0,FALSE,21495,TRUE,80,1,FALSE,high
FALSE,accepted,0,TRUE,598,FALSE,110,0,FALSE,low
FALSE,accepted,4,FALSE,21495,TRUE,147,1,FALSE,high
FALSE,accepted,0,FALSE,419,FALSE,118,0,FALSE,low
FALSE,unreviewed,0,FALSE,419,FALSE,143,0,FALSE,low
FALSE,accepted,1,FALSE,8610,FALSE,96,0,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,44,0,FALSE,low
FALSE,accepted,0,FALSE,21495,TRUE,29,3,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,50,0,FALSE,low
FALSE,accepted,1,FALSE,8610,FALSE,27,1,FALSE,high
FALSE,unreviewed,0,FALSE,419,FALSE,67,0,FALSE,low
FALSE,accepted,0,FALSE,598,FALSE,222,0,FALSE,high
FALSE,accepted,0,FALSE,419,FALSE,34,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,51,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,107,0,FALSE,high
FALSE,unreviewed,0,FALSE,38,FALSE,41,0,FALSE,low
FALSE,unreviewed,3,FALSE,598,FALSE,162,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,42,0,FALSE,low
FALSE,accepted,0,TRUE,2503,TRUE,35,0,FALSE,low
FALSE,accepted,0,FALSE,2503,TRUE,41,0,FALSE,high
FALSE,unreviewed,0,FALSE,598,FALSE,42,0,FALSE,low
FALSE,accepted,0,FALSE,693,FALSE,7,0,FALSE,low
FALSE,accepted,1,TRUE,17568,TRUE,38,6,FALSE,high
FALSE,unreviewed,0,TRUE,8610,FALSE,23,4,FALSE,low
FALSE,unreviewed,0,FALSE,38,FALSE,33,0,FALSE,low
FALSE,accepted,1,FALSE,2503,TRUE,31,0,FALSE,high
FALSE,accepted,0,TRUE,8610,FALSE,59,0,FALSE,low
FALSE,accepted,0,TRUE,21495,TRUE,182,3,FALSE,low
FALSE,accepted,0,TRUE,8610,FALSE,18,0,FALSE,high
FALSE,accepted,0,FALSE,598,FALSE,42,0,FALSE,low
FALSE,accepted,0,TRUE,21495,TRUE,6,2,FALSE,high
TRUE,verified,0,TRUE,8610,FALSE,136,2,TRUE,high
FALSE,accepted,0,FALSE,419,FALSE,35,0,FALSE,low
FALSE,accepted,0,FALSE,17568,TRUE,60,0,FALSE,high
FALSE,accepted,0,FALSE,419,FALSE,142,0,FALSE,low
FALSE,accepted,0,TRUE,17568,TRUE,65,2,FALSE,low
FALSE,accepted,4,TRUE,2503,TRUE,92,0,FALSE,high
FALSE,accepted,0,FALSE,10964,FALSE,78,0,FALSE,high
FALSE,accepted,0,FALSE,8610,FALSE,29,0,FALSE,high
FALSE,accepted,2,FALSE,10964,FALSE,104,0,FALSE,high
FALSE,accepted,0,FALSE,17568,TRUE,276,0,FALSE,high
FALSE,unreviewed,0,FALSE,598,FALSE,35,0,FALSE,low
TRUE,verified,22,TRUE,17568,TRUE,7,4,TRUE,high
FALSE,accepted,0,TRUE,17568,TRUE,41,0,FALSE,low
FALSE,accepted,0,FALSE,2503,TRUE,7,0,FALSE,high
FALSE,accepted,1,FALSE,8610,FALSE,278,0,FALSE,high
FALSE,unreviewed,0,FALSE,2660,FALSE,135,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,111,0,FALSE,high
TRUE,verified,0,TRUE,8610,FALSE,176,3,TRUE,high
FALSE,accepted,2,TRUE,10964,FALSE,9,2,FALSE,high
FALSE,accepted,1,FALSE,2503,TRUE,279,0,FALSE,low
FALSE,accepted,0,TRUE,2503,TRUE,35,0,FALSE,low
FALSE,accepted,1,TRUE,8610,FALSE,7,3,FALSE,low
FALSE,accepted,0,TRUE,10964,FALSE,25,0,FALSE,high
FALSE,unreviewed,0,FALSE,419,FALSE,78,0,FALSE,low
FALSE,accepted,1,TRUE,17568,TRUE,6,3,FALSE,high
TRUE,verified,12,TRUE,8610,FALSE,67,9,TRUE,high
FALSE,accepted,0,TRUE,2503,TRUE,23,0,FALSE,high
FALSE,accepted,2,TRUE,10964,FALSE,120,0,FALSE,high
FALSE,accepted,0,FALSE,693,FALSE,19,0,FALSE,high
FALSE,accepted,2,TRUE,17568,TRUE,22,2,FALSE,high
FALSE,unreviewed,0,FALSE,419,FALSE,30,0,FALSE,low
FALSE,unreviewed,0,FALSE,38,FALSE,39,0,FALSE,low
FALSE,accepted,0,TRUE,10964,FALSE,139,0,FALSE,high
FALSE,unreviewed,0,FALSE,2503,TRUE,30,0,FALSE,low
FALSE,accepted,0,FALSE,21495,TRUE,94,0,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,46,0,FALSE,low
FALSE,accepted,0,TRUE,2503,TRUE,61,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,69,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,25,0,FALSE,low
FALSE,accepted,0,TRUE,2660,FALSE,14,0,FALSE,low
FALSE,unreviewed,0,FALSE,419,FALSE,80,0,FALSE,low
FALSE,accepted,0,TRUE,17568,TRUE,127,1,FALSE,high
FALSE,accepted,1,FALSE,419,FALSE,21,0,FALSE,low
FALSE,accepted,1,FALSE,693,FALSE,52,0,FALSE,high
FALSE,accepted,0,FALSE,17568,TRUE,191,0,FALSE,high
FALSE,accepted,2,FALSE,2660,FALSE,75,0,FALSE,high
FALSE,unreviewed,1,FALSE,598,FALSE,8,0,FALSE,low
FALSE,accepted,0,TRUE,21495,TRUE,73,0,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,20,0,FALSE,high
FALSE,accepted,0,FALSE,10964,FALSE,158,0,FALSE,high
FALSE,accepted,0,FALSE,21495,TRUE,37,1,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,74,0,FALSE,low
FALSE,accepted,0,FALSE,10964,FALSE,91,2,FALSE,high
FALSE,accepted,2,TRUE,10964,FALSE,160,0,FALSE,high
FALSE,accepted,0,FALSE,419,FALSE,42,0,FALSE,low
FALSE,accepted,0,FALSE,10964,FALSE,49,0,FALSE,high
FALSE,accepted,0,FALSE,598,FALSE,61,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,136,0,FALSE,low
FALSE,accepted,0,TRUE,2503,TRUE,185,0,FALSE,high
FALSE,accepted,0,FALSE,419,FALSE,82,0,FALSE,low
FALSE,unreviewed,2,FALSE,38,FALSE,43,0,FALSE,low
FALSE,accepted,0,FALSE,2503,TRUE,30,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,18,0,FALSE,low
FALSE,unreviewed,0,FALSE,2660,FALSE,50,0,FALSE,low
FALSE,accepted,1,TRUE,17568,TRUE,43,0,FALSE,low
FALSE,accepted,5,FALSE,21495,TRUE,191,0,FALSE,high
FALSE,unreviewed,0,FALSE,419,FALSE,26,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,62,0,FALSE,low
TRUE,verified,6,TRUE,8610,FALSE,6,6,TRUE,high
FALSE,accepted,0,FALSE,10964,FALSE,105,0,FALSE,high
TRUE,accepted,0,FALSE,10964,FALSE,31,26,FALSE,low
FALSE,unreviewed,0,FALSE,693,FALSE,18,0,FALSE,low
FALSE,accepted,0,FALSE,598,FALSE,88,0,FALSE,low
FALSE,accepted,2,FALSE,2503,TRUE,88,0,FALSE,low
FALSE,accepted,1,TRUE,419,FALSE,41,0,FALSE,low
FALSE,accepted,2,FALSE,2660,FALSE,79,0,FALSE,low
FALSE,unreviewed,0,TRUE,17568,TRUE,66,1,FALSE,low
FALSE,accepted,0,TRUE,10964,FALSE,94,0,FALSE,high
FALSE,accepted,1,TRUE,17568,TRUE,61,1,FALSE,high
FALSE,accepted,0,FALSE,419,FALSE,39,0,FALSE,low
FALSE,accepted,0,FALSE,21495,TRUE,42,4,FALSE,high
FALSE,unreviewed,0,FALSE,693,FALSE,44,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,32,3,FALSE,high
FALSE,accepted,0,TRUE,21495,TRUE,22,3,FALSE,high
FALSE,accepted,0,FALSE,693,FALSE,30,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,41,0,FALSE,low
FALSE,accepted,0,FALSE,2660,FALSE,14,0,FALSE,high
FALSE,accepted,0,TRUE,10964,FALSE,40,1,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,67,0,FALSE,high
FALSE,accepted,0,TRUE,10964,FALSE,47,1,FALSE,high
FALSE,unreviewed,0,FALSE,419,FALSE,17,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,202,0,FALSE,high
FALSE,accepted,0,FALSE,693,FALSE,43,0,FALSE,high
FALSE,accepted,0,TRUE,17568,TRUE,164,0,FALSE,high
FALSE,accepted,0,FALSE,8610,FALSE,143,0,FALSE,high
FALSE,unreviewed,0,FALSE,38,FALSE,26,0,FALSE,low
FALSE,unreviewed,1,FALSE,419,FALSE,96,0,FALSE,low
FALSE,accepted,0,TRUE,8610,FALSE,109,0,FALSE,high
FALSE,unreviewed,1,FALSE,2503,TRUE,99,0,FALSE,low
FALSE,unreviewed,0,FALSE,419,FALSE,43,0,FALSE,low
FALSE,accepted,0,FALSE,693,FALSE,104,0,FALSE,low
FALSE,accepted,0,TRUE,8610,FALSE,139,0,FALSE,high
TRUE,verified,52,TRUE,8610,FALSE,59,9,TRUE,high
FALSE,accepted,0,TRUE,10964,FALSE,17,0,FALSE,low
FALSE,accepted,1,FALSE,2503,TRUE,52,0,FALSE,high
FALSE,unreviewed,0,TRUE,598,FALSE,56,0,FALSE,low
TRUE,verified,79,TRUE,17568,TRUE,105,3,TRUE,high
FALSE,accepted,1,FALSE,2660,FALSE,89,1,FALSE,low
FALSE,accepted,1,FALSE,598,FALSE,62,0,FALSE,low
FALSE,accepted,1,FALSE,2503,TRUE,66,0,FALSE,low
FALSE,accepted,1,TRUE,21495,TRUE,31,2,FALSE,high
FALSE,accepted,0,TRUE,598,FALSE,146,0,FALSE,low
