Accepted_Annotations,Annotation_Count,Comment_Count,Followers,Length_Referent_Text,Number_Contributors,Number_Verified_Annotations,Page_Views,Pyong_Count,Release_Date
37,42,22,17568,7,399,4,3060005,1027,5683
40,42,0,17568,41,243,0,1365257,610,1565
19,21,0,2503,7,63,0,199159,9,4870
11,12,1,8610,278,216,0,3708670,204,826
10,18,0,2660,135,69,0,265651,35,7481
53,54,0,8610,111,315,0,1536371,192,853
35,39,0,8610,176,277,3,3184871,369,1797
39,42,2,10964,9,393,2,7086094,669,2034
66,67,1,2503,279,117,0,275989,163,1434
29,30,0,2503,35,110,0,505744,68,4860
35,39,1,8610,7,277,3,3184871,369,1797
27,28,0,10964,25,196,0,3183017,226,1929
9,23,0,419,78,47,0,68548,16,9854
118,122,1,17568,6,1380,3,12190302,5604,1678
32,42,12,8610,67,515,9,5296468,341,887
17,18,0,2503,23,118,0,802089,611,1460
10,11,2,10964,120,237,0,5521909,201,775
36,38,0,693,19,95,0,234938,47,6452
48,51,2,17568,22,292,2,1384638,302,6578
20,29,0,419,30,66,0,55588,3,9854
0,5,0,38,39,3,0,6552,12,1746
9,10,0,10964,139,252,0,6148182,583,1030
29,36,0,2503,30,43,0,140356,6,2150
20,21,0,21495,94,247,0,2330119,168,401
16,17,0,2503,46,79,0,590497,90,1905
33,34,0,2503,61,106,0,222423,22,4870
21,33,0,598,69,41,0,34642,7,7369
18,21,0,598,25,35,0,38870,60,7089
94,104,0,2660,14,294,0,2015929,338,8020
1,12,0,419,80,8,0,41280,2,10877
17,20,0,17568,127,152,1,1204637,210,5733
21,26,1,419,21,27,0,24461,1,9854
8,10,1,693,52,34,0,74409,10,5353
12,13,0,17568,191,229,0,2590584,402,156
38,41,2,2660,75,93,0,243794,37,5654
11,20,1,598,8,36,0,29021,51,7089
23,24,0,21495,73,382,0,3709414,1885,1162
30,31,0,2503,20,82,0,140642,18,4646
23,24,0,10964,158,398,0,4498975,1263,1026
22,24,0,21495,37,366,1,2267806,211,401
43,48,0,2503,74,90,0,284677,40,1986
66,69,0,10964,91,306,2,2875478,342,1699
10,11,2,10964,160,237,0,5521909,201,775
16,22,0,419,42,40,0,89259,12,10141
13,14,0,10964,49,93,0,2256798,1395,1111
19,21,0,598,61,28,0,154723,78,6725
24,28,0,598,136,32,0,50538,57,7306
17,18,0,2503,185,118,0,802089,611,1460
24,33,0,419,82,22,0,40285,2,9854
2,9,2,38,43,39,0,282527,50,1174
48,49,0,2503,30,97,0,143815,41,954
11,20,0,598,18,36,0,29021,51,7089
22,29,0,2660,50,88,0,292144,62,8377
54,56,1,17568,43,295,0,1338433,198,3188
44,45,5,21495,191,712,0,1479165,270,423
39,49,0,419,26,193,0,1708934,146,10876
17,24,0,598,62,31,0,34150,6,7509
62,69,6,8610,6,372,6,6159849,319,2238
28,29,0,10964,105,220,0,2943027,172,973
31,58,0,10964,31,245,26,4690125,1077,1192
16,19,0,693,18,27,0,66018,10,5353
6,8,0,598,88,30,0,41400,65,7306
57,58,2,2503,88,157,0,183015,19,611
42,43,1,419,41,188,0,1173187,161,10906
32,35,2,2660,79,85,0,276104,35,7866
