Accepted_Annotations,Annotation_Count,Comment_Count,Followers,Length_Referent_Text,Number_Contributors,Number_Verified_Annotations,Page_Views,Pyong_Count,Release_Date
9,23,0,419,65,47,0,68548,16,9854
0,20,0,38,49,5,0,1382475,260,1160
18,19,0,10964,55,152,0,2401685,59,751
27,29,1,598,232,60,0,101327,71,7306
18,19,0,10964,80,152,0,2401685,59,751
94,104,1,2660,27,294,0,2015929,338,8020
11,25,0,419,22,31,0,34645,3,11011
59,62,0,21495,5,453,0,1377723,100,401
29,34,0,2660,7,100,0,244114,29,7906
28,29,0,10964,36,220,0,2943027,172,973
46,49,0,17568,9,207,0,896107,239,4548
17,21,0,2660,64,126,2,312702,48,8468
48,49,0,2503,42,97,0,143815,41,954
21,33,0,598,111,41,0,34642,7,7369
73,76,0,2503,15,141,0,562484,46,2466
23,24,0,21495,63,382,0,3709414,1885,1162
10,16,1,2660,83,75,0,310739,40,9110
9,12,1,2660,94,58,0,240321,24,8132
30,32,0,2660,27,212,1,994904,262,7159
11,16,1,598,39,86,0,218921,52,4252
110,117,0,2503,63,149,0,314608,338,1475
25,27,0,10964,62,153,0,2542718,168,2217
39,42,0,10964,21,393,2,7086094,669,2034
33,34,0,2503,47,106,0,222423,22,4870
21,26,0,419,77,27,0,24461,1,9854
20,25,0,419,45,28,0,41912,8,10877
54,58,0,693,142,111,0,77481,31,5353
30,33,0,693,193,51,0,70429,18,8948
18,22,0,17568,94,172,0,828968,227,2528
32,35,0,2660,21,85,0,276104,35,7866
45,47,0,10964,45,234,1,2749197,1861,1300
29,34,0,2660,43,100,0,244114,29,7906
17,21,0,2660,187,126,2,312702,48,8468
16,22,0,419,37,40,0,89259,12,10141
53,54,0,21495,74,315,0,1536371,192,853
40,50,0,17568,40,411,7,1221363,153,471
21,22,2,8610,43,171,0,1491573,99,826
11,12,0,8610,49,216,0,3708670,204,826
24,33,0,419,136,22,0,40285,2,9854
31,34,0,17568,146,212,2,848363,144,7055
8,10,1,693,33,34,0,74409,10,5353
33,34,0,693,56,66,0,55269,10,7936
34,35,0,2660,52,80,0,243325,28,8020
20,21,0,10964,46,154,0,2714212,215,1948
37,40,0,693,50,96,1,253453,33,7936
24,27,1,598,226,125,0,1136917,296,1664
26,27,0,693,53,84,0,174452,23,7249
81,84,20,10964,40,251,2,3670474,495,1699
37,39,1,10964,9,138,0,2448942,317,1699
30,38,0,419,20,51,0,42338,8,10601
46,49,0,21495,9,375,2,5236229,872,2119
24,27,0,598,109,21,0,33958,50,7306
19,29,0,598,67,34,0,54207,7,2049
12,13,0,8610,135,104,0,1361667,66,751
30,33,0,693,62,51,0,70429,18,8948
8,14,0,598,5,24,0,36887,42,7089
29,32,1,17568,9,175,0,990612,273,3204
19,20,0,2503,72,45,0,273854,10,699
19,20,1,10964,43,433,0,6490108,740,121
55,57,0,17568,49,290,1,1404525,294,1685
40,50,0,17568,103,411,7,1221363,153,471
20,21,1,10964,86,154,0,2714212,215,1948
26,29,1,2660,46,142,0,600994,128,8132
45,48,0,693,48,65,0,71516,15,8790
64,65,1,419,616,79,0,210446,18,11238
98,101,1,21495,239,552,2,2049199,111,2036
37,42,19,17568,119,399,4,3060005,1027,5683
28,29,4,21495,165,198,0,1921896,426,2514
5,20,0,38,45,6,0,1382475,9,1115
17,18,0,693,250,53,0,66937,10,7173
23,24,0,10964,60,398,0,4498975,1263,1026
5,20,0,38,51,6,0,1382475,9,1115
22,27,0,693,38,82,0,207559,26,7173
21,26,0,419,36,56,0,87650,17,6845
52,55,0,693,33,64,1,54408,12,8735
22,26,0,2660,98,41,0,415789,59,5701
23,24,0,693,205,37,0,86111,3,7173
27,32,0,419,43,24,0,29132,2,10218
10,16,0,598,48,28,0,36933,47,7089
27,32,1,2660,35,120,0,357887,44,8048
8,9,0,8610,96,84,0,1633034,49,782
32,42,0,8610,30,515,9,5296468,341,887
36,40,0,21495,6,363,3,4131701,623,2036
44,45,0,21495,96,712,0,1479165,270,423
21,33,0,598,52,41,0,34642,7,7369
30,32,0,693,44,70,0,233864,72,6277
16,19,1,693,49,27,0,66018,10,5353
33,41,0,8610,31,207,7,1930333,90,566
66,69,0,10964,87,306,2,2875478,342,1699
20,21,2,21495,78,247,0,2330119,168,401
9,16,0,598,64,28,0,33035,77,7404
40,42,0,17568,287,243,0,1365257,610,1565
38,40,1,17568,127,147,0,1054515,245,4773
38,40,0,21495,7,546,1,2377865,1535,1196
11,25,1,419,48,31,0,34645,3,11011
19,29,0,598,196,34,0,54207,7,2049
20,29,0,419,70,66,0,55588,3,9854
38,40,0,21495,6,546,1,2377865,1535,1196
38,39,0,8610,19,262,0,1497028,996,1175
18,21,2,598,80,35,0,38870,60,7089
103,107,0,21495,27,399,3,1792776,310,1951
22,28,0,8610,45,167,0,2147517,91,2126
44,45,0,21495,43,712,0,1479165,270,423
27,28,1,10964,42,196,0,3183017,226,1929
17,21,0,2660,143,126,2,312702,48,8468
6,7,1,2660,412,94,0,413416,81,8132
36,40,0,10964,48,177,2,3274833,547,1699
47,53,4,21495,69,363,5,4222368,861,2036
23,24,0,693,112,37,0,86111,3,7173
26,35,0,598,61,32,0,47306,23,2234
6,11,0,17568,108,173,0,826526,170,1657
26,31,1,598,107,78,0,214830,87,6557
22,26,0,2660,53,41,0,415789,59,5701
18,24,0,10964,111,216,0,2254705,226,2518
73,76,0,2503,29,141,0,562484,46,2466
42,43,0,2503,77,218,0,1104987,275,1060
73,77,0,17568,166,279,1,1156612,233,1657
20,23,1,2660,92,146,0,897768,206,8489
24,29,0,8610,45,195,4,2724546,198,2477
55,56,0,17568,14,281,0,1478231,259,5843
54,58,0,693,39,111,0,77481,31,5353
10,16,1,598,5,28,0,36933,47,7089
35,39,2,8610,79,365,3,3306405,290,826
16,22,0,2660,40,95,1,234474,28,8132
22,24,2,10964,72,258,1,7397166,578,844
0,7,0,38,21,9,0,5594,3,754
19,29,0,598,121,34,0,54207,7,2049
30,32,1,693,42,70,0,233864,72,6277
37,39,1,10964,86,138,0,2448942,317,1699
43,48,0,2503,119,90,0,284677,40,1986
22,26,0,2660,44,41,0,415789,59,5701
10,18,0,2660,21,69,0,265651,35,7481
7,12,0,2503,56,51,4,227520,30,627
20,29,0,419,37,66,0,55588,3,9854
32,42,38,8610,47,515,9,5296468,341,887
38,39,1,21495,38,262,0,1497028,996,1175
38,39,0,21495,45,262,0,1497028,996,1175
36,38,1,693,76,95,0,234938,47,6452
36,49,0,419,35,42,0,65899,6,10141
47,53,2,21495,19,363,5,4222368,861,2036
24,25,0,17568,83,278,0,1050140,672,1125
5,18,0,419,80,20,0,26872,10,9854
0,3,0,38,51,3,0,1382475,260,1115
66,69,11,10964,169,306,2,2875478,342,1699
30,33,0,693,40,51,0,70429,18,8948
35,39,1,8610,31,277,3,3184871,369,1797
33,41,4,8610,116,207,7,1930333,90,566
52,57,0,17568,44,434,4,2640134,407,1727
44,45,0,21495,101,712,0,1479165,270,423
27,29,1,598,46,60,0,101327,71,7306
27,32,0,2660,31,120,0,357887,44,8048
40,41,0,10964,18,294,0,3318872,2527,1449
18,19,0,21495,49,827,0,9407569,949,416
44,46,0,2503,53,76,0,158330,11,1986
17,24,0,598,166,31,0,34150,6,7509
52,54,1,17568,80,297,0,1024521,303,1657
21,24,1,8610,33,257,2,1441789,313,2779
33,36,0,8610,51,335,2,5070070,372,2441
10,11,0,10964,40,237,0,5521909,201,775
34,35,0,2660,116,80,0,243325,28,8020
11,20,0,598,56,36,0,29021,51,7089
27,29,0,2660,37,142,0,589526,94,8179
55,57,40,17568,156,290,1,1404525,294,1685
64,65,1,419,46,79,0,210446,18,11238
14,27,0,419,27,58,0,93873,13,10415
40,50,2,17568,52,411,7,1221363,153,471
50,53,2,8610,110,316,2,2524716,382,1797
24,29,1,8610,45,195,4,2724546,198,2477
22,25,0,21495,25,305,0,1495678,169,129
23,24,0,693,13,60,0,53974,9,7210
21,22,1,10964,52,218,0,2302935,163,541
36,40,1,10964,41,177,2,3274833,547,1699
18,19,0,8610,37,197,0,1720858,123,826
34,36,2,21495,64,245,1,3253375,527,2043
65,67,1,8610,34,362,0,2968632,314,2766
26,29,0,693,15,62,1,155005,25,6935
16,19,0,693,28,27,0,66018,10,5353
42,43,0,10964,20,195,0,3081814,165,2378
29,38,0,598,69,84,0,332843,96,5360
52,57,0,17568,40,434,4,2640134,407,1727
73,76,0,2503,30,141,0,562484,46,2466
66,67,0,2503,7,117,0,275989,163,1434
17,18,0,2503,51,59,0,211688,13,1986
27,28,0,10964,6,196,0,3183017,226,1929
11,14,0,419,16,31,0,32188,260,9854
16,22,0,2660,42,95,1,234474,28,8132
36,40,0,10964,102,177,2,3274833,547,1699
54,58,0,693,122,111,0,77481,31,5353
0,9,0,38,44,4,0,1382475,3,1308
42,43,2,2503,103,218,0,1104987,275,1060
34,36,0,2503,21,176,0,336606,54,1017
33,36,0,8610,60,335,2,5070070,372,2441
20,24,60,17568,17,191,3,1147870,203,2841
22,23,1,38,100,125,0,2423056,1331,1177
28,29,0,21495,28,198,0,1921896,426,2514
7,12,0,2503,119,51,4,227520,30,627
26,31,4,598,57,78,0,214830,87,6557
47,51,8,21495,55,346,3,3910160,380,2036
84,89,0,21495,28,552,4,5613108,2095,2036
22,27,0,693,54,82,0,207559,26,7173
81,84,0,10964,75,251,2,3670474,495,1699
33,34,0,2503,41,106,0,222423,22,4870
25,26,0,17568,56,377,0,1878910,389,191
39,43,0,17568,17,455,3,4139198,785,1664
17,18,1,693,109,53,0,66937,10,7173
24,25,10,17568,339,278,0,1050140,672,1125
30,38,0,419,32,51,0,42338,8,10601
6,7,0,2660,139,94,0,413416,81,8132
26,29,0,2660,29,142,0,600994,128,8132
17,18,1,2503,47,59,0,211688,13,1986
23,24,2,21495,103,382,0,3709414,1885,1162
14,23,0,419,22,34,0,27247,6,9854
19,22,0,2660,148,111,0,383454,65,7917
25,26,0,598,107,273,0,1657441,82,751
47,53,0,21495,93,363,5,4222368,861,2036
47,49,0,2503,55,181,0,884987,117,1986
55,66,0,419,24,50,0,49068,6,10877
7,18,0,419,41,25,0,30890,4,9854
29,36,0,2503,22,43,0,140356,6,2150
22,24,0,21495,165,366,1,2267806,211,401
31,32,0,693,146,121,0,751230,95,6438
24,27,0,693,30,55,0,58072,12,7173
37,39,0,10964,30,138,0,2448942,317,1699
25,26,0,8610,126,273,0,1657441,82,751
25,26,0,8610,69,239,0,1480434,207,2914
14,22,0,2660,148,90,0,403463,54,8132
4,5,3,10964,85,198,0,3452374,173,574
29,36,0,2503,17,43,0,140356,6,2150
19,21,0,2503,101,63,0,199159,9,4870
14,16,1,2503,19,74,0,265541,33,4926
12,13,2,17568,189,229,0,2590584,402,156
19,20,1,10964,42,433,0,6490108,740,121
20,24,1,17568,46,191,3,1147870,203,2841
45,46,1,8610,58,191,0,2798227,1397,1207
53,54,1,8610,108,315,0,1536371,192,853
24,25,1,8610,187,175,0,1691176,204,863
20,23,1,2660,102,146,0,897768,206,8489
34,36,10,21495,89,245,1,3253375,527,2043
5,20,0,38,57,6,0,1382475,9,1115
25,36,0,419,10,25,0,38090,2,10877
39,44,0,2503,42,54,0,150795,8,1986
52,54,1,17568,41,297,0,1024521,303,1657
6,7,2,2660,50,94,0,413416,81,8132
19,22,0,2660,50,111,0,383454,65,7917
48,51,0,17568,48,292,2,1384638,302,6578
20,23,0,2660,89,146,0,897768,206,8489
2,17,0,38,38,6,0,1382475,260,931
44,57,0,598,19,78,0,44223,4,7467
32,35,0,2660,249,85,0,276104,35,7866
24,33,0,419,29,22,0,40285,2,9854
46,49,1,17568,7,207,0,896107,239,4548
20,25,0,419,52,28,0,41912,8,10877
29,32,1,17568,149,175,0,990612,273,3204
9,12,1,2660,25,58,0,240321,24,8132
39,43,2,17568,20,455,3,4139198,785,1664
51,52,1,21495,271,360,0,2016243,1267,1162
40,41,0,10964,101,294,0,3318872,2527,1449
22,29,0,2660,55,88,0,292144,62,8377
14,22,0,2660,35,90,0,403463,54,8132
39,40,0,693,65,83,0,173703,34,7985
20,21,5,21495,47,247,0,2330119,168,401
26,35,1,598,38,32,0,47306,23,2234
24,25,1,17568,95,278,0,1050140,672,1125
30,32,0,693,29,70,0,233864,72,6277
30,32,1,2660,17,212,1,994904,262,7159
7,12,0,2503,27,51,4,227520,30,627
39,44,0,2503,57,54,0,150795,8,1986
20,31,0,598,15,65,0,167114,92,7114
28,29,0,21495,70,198,0,1921896,426,2514
15,16,4,10964,202,168,0,2441784,145,751
30,32,4,2660,53,212,1,994904,262,7159
48,49,0,2503,62,97,0,143815,41,954
0,3,0,38,55,4,0,1382475,260,1582
7,18,0,419,44,25,0,30890,4,9854
39,44,0,2503,42,54,0,150795,8,1986
24,27,0,598,57,21,0,33958,50,7306
16,22,0,2660,21,95,1,234474,28,8132
1,12,0,419,25,8,0,41280,2,10877
18,27,0,693,7,50,0,64483,12,6018
11,20,0,598,37,36,0,29021,51,7089
48,51,1,17568,31,292,2,1384638,302,6578
26,31,0,598,99,78,0,214830,87,6557
21,26,1,693,416,112,1,594125,64,5353
73,77,0,17568,31,279,1,1156612,233,1657
13,15,0,598,40,66,0,311514,89,5599
54,58,0,693,39,111,0,77481,31,5353
22,27,0,2660,61,158,0,1163069,159,8970
24,25,2,8610,59,175,0,1691176,204,863
17,18,1,2503,50,118,0,802089,611,1460
26,29,3,693,93,62,1,155005,25,6935
16,22,1,419,250,40,0,89259,12,10141
37,42,3,17568,45,399,4,3060005,1027,5683
36,40,31,21495,38,363,3,4131701,623,2036
66,67,0,21495,22,246,0,2418330,820,1545
14,23,0,419,38,34,0,27247,6,9854
20,21,0,21495,85,247,0,2330119,168,401
27,28,0,10964,42,196,0,3183017,226,1929
18,19,0,10964,186,152,0,2401685,59,751
52,54,0,17568,65,297,0,1024521,303,1657
34,35,0,2660,30,80,0,243325,28,8020
34,36,0,2503,17,100,0,541196,28,2086
33,36,0,8610,48,335,2,5070070,372,2441
21,22,0,10964,44,218,0,2302935,163,541
8,16,0,598,45,27,0,182769,80,7306
42,43,2,419,36,188,0,1173187,161,10906
18,32,0,419,53,37,0,36710,2,9854
39,44,0,2503,66,54,0,150795,8,1986
39,49,0,419,31,193,0,1708934,146,10876
11,12,0,8610,96,216,0,3708670,204,826
35,39,4,8610,107,365,3,3306405,290,826
26,29,2,2660,87,142,0,600994,128,8132
39,44,0,2503,39,54,0,150795,8,1986
38,41,2,2660,47,93,0,243794,37,5654
20,21,3,21495,96,247,0,2330119,168,401
30,35,0,2660,25,152,0,245908,29,7906
24,25,9,17568,288,278,0,1050140,672,1125
47,49,0,2503,27,181,0,884987,117,1986
48,49,0,2503,96,97,0,143815,41,954
21,26,0,419,31,56,0,87650,17,6845
54,58,0,693,244,111,0,77481,31,5353
43,47,0,419,17,54,0,36616,260,720
31,34,2,17568,21,212,2,848363,144,7055
53,54,0,21495,127,315,0,1536371,192,853
59,62,0,21495,58,453,0,1377723,100,401
21,26,0,419,44,56,0,87650,17,6845
22,24,43,21495,48,366,1,2267806,211,401
39,40,0,693,18,146,0,272088,50,7173
4,5,0,10964,77,198,0,3452374,173,574
53,54,2,17568,116,251,0,1310185,380,5843
18,22,0,17568,61,172,0,828968,227,2528
10,16,0,2660,52,75,0,310739,40,9110
98,101,2,21495,265,552,2,2049199,111,2036
11,12,3,8610,24,119,0,1381659,86,826
13,15,1,598,153,66,0,311514,89,5599
29,30,2,21495,112,356,0,4016170,162,401
36,40,0,10964,62,177,2,3274833,547,1699
60,62,0,10964,33,199,1,2718643,228,1793
15,18,1,693,35,39,0,75496,17,5353
40,46,0,8610,23,335,0,3428303,174,2082
45,48,0,693,49,65,0,71516,15,8790
25,26,4,598,129,273,0,1657441,82,751
20,31,0,598,44,65,0,167114,92,7114
37,40,1,693,45,96,1,253453,33,7936
44,57,1,598,55,78,0,44223,4,7467
24,25,0,8610,115,175,0,1691176,204,863
35,42,0,598,13,48,0,37416,56,7306
24,28,0,598,51,32,0,50538,57,7306
7,12,1,2503,66,51,4,227520,30,627
34,36,3,21495,30,245,1,3253375,527,2043
11,20,0,598,25,36,0,29021,51,7089
110,117,0,2503,29,149,0,314608,338,1475
36,40,1,10964,16,177,2,3274833,547,1699
16,19,2,21495,44,100,0,1376561,138,1705
26,29,0,2660,60,142,0,600994,128,8132
8,10,0,693,54,34,0,74409,10,5353
45,48,0,693,62,65,0,71516,15,8790
23,26,0,419,136,32,0,33966,5,10841
28,30,0,8610,74,277,1,2219708,303,1797
134,137,0,21495,10,714,2,4168155,573,1742
35,36,0,693,56,68,0,82508,18,7936
24,27,0,598,25,125,0,1136917,296,1664
36,39,0,419,42,83,0,253379,45,10906
36,40,0,21495,36,363,3,4131701,623,2036
40,42,0,17568,20,243,0,1365257,610,1565
8,16,0,598,121,27,0,182769,80,7306
25,26,0,598,143,273,0,1657441,82,751
42,43,0,10964,52,195,0,3081814,165,2378
27,29,0,2660,152,142,0,589526,94,8179
19,20,0,693,29,50,0,93670,33,7173
39,40,0,693,196,83,0,173703,34,7985
55,62,4,8610,57,226,4,1891346,94,2074
35,39,6,8610,6,277,3,3184871,369,1797
11,25,0,419,128,31,0,34645,3,11011
34,36,1,2503,32,100,0,541196,28,2086
22,27,0,693,39,82,0,207559,26,7173
19,20,2,2503,67,45,0,273854,10,699
25,36,0,419,102,25,0,38090,2,10877
81,84,0,10964,53,251,2,3670474,495,1699
21,26,1,693,52,112,1,594125,64,5353
30,33,1,693,42,51,0,70429,18,8948
53,54,0,21495,39,315,0,1536371,192,853
25,27,2,8610,326,237,1,2391365,254,1797
2,9,0,38,24,39,0,282527,50,1174
31,58,0,10964,93,245,26,4690125,1077,1192
11,14,1,419,123,31,0,32188,260,9854
26,27,0,693,36,84,0,174452,23,7249
24,27,0,598,140,125,0,1136917,296,1664
50,52,0,2503,3,79,0,138877,22,2595
98,101,0,21495,25,552,2,2049199,111,2036
18,24,1,10964,52,216,0,2254705,226,2518
18,19,0,21495,53,827,0,9407569,949,416
23,24,0,693,36,37,0,86111,3,7173
13,15,0,21495,40,159,0,1329333,136,136
14,22,0,2660,107,90,0,403463,54,8132
14,23,0,419,87,34,0,27247,6,9854
24,27,1,598,37,125,0,1136917,296,1664
4,13,0,598,128,21,0,28888,55,7306
12,16,0,21495,145,235,3,3212355,190,401
53,55,0,17568,9,322,0,1121576,254,2784
64,65,0,419,28,79,0,210446,18,11238
10,11,0,10964,58,237,0,5521909,201,775
30,33,0,693,49,51,0,70429,18,8948
40,41,0,10964,86,294,0,3318872,2527,1449
39,40,0,693,54,146,0,272088,50,7173
38,39,0,21495,30,262,0,1497028,996,1175
11,25,0,419,100,31,0,34645,3,11011
26,31,0,598,47,78,0,214830,87,6557
33,36,0,8610,33,335,2,5070070,372,2441
32,42,17,8610,20,515,9,5296468,341,887
19,21,0,598,89,28,0,154723,78,6725
53,54,0,17568,63,251,0,1310185,380,5843
19,20,0,10964,37,433,0,6490108,740,121
44,46,0,2503,26,76,0,158330,11,1986
16,17,0,2503,48,79,0,590497,90,1905
64,65,1,419,41,79,0,210446,18,11238
13,15,9,21495,79,159,0,1329333,136,136
19,20,0,10964,79,433,0,6490108,740,121
59,62,0,21495,57,453,0,1377723,100,401
45,47,0,10964,21,234,1,2749197,1861,1300
44,46,0,2503,40,76,0,158330,11,1986
12,13,0,8610,68,104,0,1361667,66,751
36,49,0,419,32,42,0,65899,6,10141
26,29,0,693,303,62,1,155005,25,6935
10,18,0,2660,304,69,0,265651,35,7481
55,57,3,17568,55,290,1,1404525,294,1685
22,24,0,693,116,62,0,58154,8,7936
12,13,0,10964,74,168,0,5132018,475,1747
20,21,1,21495,20,247,0,2330119,168,401
22,27,0,693,44,82,0,207559,26,7173
23,26,1,419,252,32,0,33966,5,10841
25,26,0,8610,42,273,0,1657441,82,751
110,117,0,2503,33,149,0,314608,338,1475
31,58,0,10964,45,245,26,4690125,1077,1192
28,29,0,10964,86,220,0,2943027,172,973
26,31,0,598,61,78,0,214830,87,6557
11,14,0,419,46,31,0,32188,260,9854
39,49,1,419,41,193,0,1708934,146,10876
5,20,0,38,98,6,0,1382475,9,1115
11,12,4,8610,88,119,0,1381659,86,826
20,21,1,10964,59,154,0,2714212,215,1948
43,45,0,2503,46,114,0,335010,38,3575
5,18,0,419,25,20,0,26872,10,9854
32,42,21,8610,45,515,9,5296468,341,887
23,24,0,10964,78,398,0,4498975,1263,1026
2,9,0,38,79,39,0,282527,50,1174
54,56,0,17568,18,295,0,1338433,198,3188
42,43,0,2503,43,218,0,1104987,275,1060
19,22,0,2660,58,111,0,383454,65,7917
10,16,0,598,50,28,0,36933,47,7089
13,18,3,693,151,95,0,932378,84,5367
12,15,1,2660,39,72,0,290854,74,4863
34,36,0,2503,47,100,0,541196,28,2086
54,56,1,17568,53,295,0,1338433,198,3188
39,44,0,2503,114,54,0,150795,8,1986
14,27,0,419,69,58,0,93873,13,10415
42,48,0,2503,54,104,0,315757,44,4252
0,6,0,38,42,3,0,1382475,260,1115
42,43,0,10964,37,195,0,3081814,165,2378
22,26,0,2660,297,41,0,415789,59,5701
24,29,1,8610,19,195,4,2724546,198,2477
37,39,1,10964,49,138,0,2448942,317,1699
29,38,1,598,46,84,0,332843,96,5360
10,16,1,2660,28,75,0,310739,40,9110
16,17,0,2503,25,79,0,590497,90,1905
9,10,0,10964,184,252,0,6148182,583,1030
23,24,0,693,18,60,0,53974,9,7210
9,12,1,2660,16,58,0,240321,24,8132
9,16,0,598,52,28,0,33035,77,7404
29,30,0,2503,39,110,0,505744,68,4860
19,21,0,598,21,28,0,154723,78,6725
40,52,0,419,45,60,0,42097,5,3586
26,28,0,2660,69,128,0,323029,54,8132
29,34,0,2660,13,100,0,244114,29,7906
29,34,0,2660,64,100,0,244114,29,7906
6,12,0,598,53,58,0,200216,107,7320
19,22,0,2660,59,111,0,383454,65,7917
38,41,0,2660,51,93,0,243794,37,5654
18,24,0,10964,32,216,0,2254705,226,2518
21,24,0,8610,37,257,2,1441789,313,2779
81,84,0,10964,16,251,2,3670474,495,1699
134,137,1,21495,21,714,2,4168155,573,1742
17,24,0,598,21,31,0,34150,6,7509
30,33,0,693,41,51,0,70429,18,8948
30,38,0,419,113,51,0,42338,8,10601
98,101,3,21495,163,552,2,2049199,111,2036
53,54,0,17568,17,251,0,1310185,380,5843
36,39,0,419,82,83,0,253379,45,10906
36,39,0,419,26,83,0,253379,45,10906
11,25,1,419,43,31,0,34645,3,11011
42,43,0,2503,15,218,0,1104987,275,1060
36,40,0,10964,63,177,2,3274833,547,1699
47,49,0,2503,50,181,0,884987,117,1986
26,35,0,598,36,32,0,47306,23,2234
27,29,0,2660,52,142,0,589526,94,8179
18,19,0,8610,82,197,0,1720858,123,826
28,29,0,10964,165,220,0,2943027,172,973
7,12,0,2503,62,51,4,227520,30,627
18,19,3,10964,45,152,0,2401685,59,751
22,23,1,38,113,125,0,2423056,1331,1177
64,65,2,419,26,79,0,210446,18,11238
18,22,2,17568,72,172,0,828968,227,2528
29,36,0,2503,34,43,0,140356,6,2150
50,57,0,2503,40,88,0,188652,27,1986
37,38,0,8610,137,200,0,3050327,2699,1346
17,18,0,693,43,53,0,66937,10,7173
13,15,0,598,97,66,0,311514,89,5599
17,18,2,693,206,53,0,66937,10,7173
16,17,0,2503,51,79,0,590497,90,1905
47,51,0,10964,49,346,3,3910160,380,2036
17,19,0,2660,168,70,0,381218,80,5309
11,12,1,8610,21,119,0,1381659,86,826
26,37,0,598,36,34,0,80238,12,4252
21,26,0,693,45,112,1,594125,64,5353
17,18,11,21495,188,319,0,3190791,366,625
66,67,0,21495,19,246,0,2418330,820,1545
106,107,0,17568,42,536,0,1719362,521,1657
43,47,0,419,41,54,0,36616,260,720
43,48,0,2503,15,90,0,284677,40,1986
38,39,0,8610,45,262,0,1497028,996,1175
29,38,0,598,9,84,0,332843,96,5360
17,18,0,2503,30,118,0,802089,611,1460
42,43,0,17568,80,208,0,1014403,226,7051
30,31,0,2503,69,125,0,579775,56,947
39,47,0,2660,54,231,1,1028013,143,7768
67,68,1,2503,129,208,0,178665,32,607
11,12,0,8610,179,216,0,3708670,204,826
50,53,0,8610,21,316,2,2524716,382,1797
3,4,0,2660,25,44,0,234149,31,8132
24,29,0,8610,16,195,4,2724546,198,2477
35,36,1,693,14,68,0,82508,18,7936
43,48,0,2503,103,90,0,284677,40,1986
12,16,0,21495,25,235,3,3212355,190,401
31,32,0,693,105,121,0,751230,95,6438
29,32,0,17568,68,175,0,990612,273,3204
4,13,2,598,105,21,0,28888,55,7306
4,5,0,2660,67,28,0,238966,40,6775
11,12,0,8610,62,119,0,1381659,86,826
19,29,0,598,48,34,0,54207,7,2049
57,58,0,2503,45,157,0,183015,19,611
38,39,0,21495,55,262,0,1497028,996,1175
36,40,0,10964,59,177,2,3274833,547,1699
28,30,2,8610,36,277,1,2219708,303,1797
30,35,0,2660,64,152,0,245908,29,7906
35,39,0,8610,124,365,3,3306405,290,826
23,26,0,419,11,32,0,33966,5,10841
31,34,1,17568,55,212,2,848363,144,7055
4,9,0,2660,26,21,0,409421,30,6389
35,36,0,693,27,68,0,82508,18,7936
9,23,0,419,18,47,0,68548,16,9854
8,10,0,693,54,34,0,74409,10,5353
13,14,0,10964,52,93,0,2256798,1395,1111
4,13,0,598,240,21,0,28888,55,7306
25,26,3,8610,69,239,0,1480434,207,2914
53,54,0,8610,127,315,0,1536371,192,853
38,39,1,21495,196,262,0,1497028,996,1175
16,17,2,2503,40,79,0,590497,90,1905
52,55,0,693,49,64,1,54408,12,8735
44,45,1,21495,43,712,0,1479165,270,423
40,46,0,8610,13,335,0,3428303,174,2082
9,16,0,598,47,28,0,33035,77,7404
51,52,0,2503,34,151,0,698013,73,2466
36,37,9,21495,49,508,0,4526124,507,401
44,57,0,598,21,78,0,44223,4,7467
28,30,0,8610,36,277,1,2219708,303,1797
6,8,0,598,203,30,0,41400,65,7306
51,52,1,2503,35,151,0,698013,73,2466
22,35,1,10964,88,149,12,2449361,452,1192
18,24,1,10964,47,216,0,2254705,226,2518
34,36,0,2503,35,100,0,541196,28,2086
50,52,0,2503,40,79,0,138877,22,2595
20,24,0,17568,49,191,3,1147870,203,2841
18,19,0,8610,40,156,0,1385859,89,826
55,56,0,17568,17,281,0,1478231,259,5843
73,77,0,17568,59,279,1,1156612,233,1657
31,32,0,693,37,121,0,751230,95,6438
39,43,2,17568,90,455,3,4139198,785,1664
30,38,0,419,38,51,0,42338,8,10601
17,18,0,2503,38,118,0,802089,611,1460
20,21,1,10964,64,154,0,2714212,215,1948
17,21,0,2660,50,126,2,312702,48,8468
29,30,0,2503,18,110,0,505744,68,4860
66,67,0,21495,6,246,0,2418330,820,1545
27,32,0,419,5,24,0,29132,2,10218
22,25,0,21495,33,305,0,1495678,169,129
20,24,0,17568,17,191,3,1147870,203,2841
35,42,2,598,14,48,0,37416,56,7306
26,29,0,693,54,62,1,155005,25,6935
40,41,0,10964,108,294,0,3318872,2527,1449
30,32,0,693,27,70,0,233864,72,6277
55,66,0,419,37,50,0,49068,6,10877
38,41,0,2660,52,93,0,243794,37,5654
45,46,0,8610,19,191,0,2798227,1397,1207
5,18,0,419,68,20,0,26872,10,9854
2,17,0,38,30,6,0,1382475,260,931
39,47,0,2660,7,231,1,1028013,143,7768
16,19,0,21495,21,100,0,1376561,138,1705
26,35,0,598,43,32,0,47306,23,2234
22,35,0,10964,9,149,12,2449361,452,1192
8,10,0,693,34,34,0,74409,10,5353
21,24,2,8610,106,257,2,1441789,313,2779
29,30,2,21495,27,356,0,4016170,162,401
22,25,0,21495,12,305,0,1495678,169,129
2,17,0,38,28,6,0,1382475,260,931
25,36,1,419,85,25,0,38090,2,10877
38,40,3,17568,120,147,0,1054515,245,4773
12,13,0,10964,34,168,0,5132018,475,1747
